Comment,Designator,Footprint,LCSC
100n,C2,C_0402_1005Metric,C1525
4u7,C1,C_0603_1608Metric,C19666
39,R3,R_0402_1005Metric,C25164
10k,"R1,R2,R4",R_0402_1005Metric,C25744
15k,R5,R_0402_1005Metric,C25756
1u,"C3,C4",C_0402_1005Metric,C52923
TXS0102DCU,"U3,U4,U5",VSSOP-8_2.3x2mm_P0.5mm,C53434
AP2127K-ADJ,U2,SOT-23-5,C96343
Art,A1,Ariamelon_Logo-CU,
Input,J1,PinHeader_1x08_P2.54mm_Vertical,
PMW3360DM-T2QU,U1,IC_PMW3360DM-T2QU,
M2,H1,MountingHole_2.2mm_M2,
M2,H2,MountingHole_2.2mm_M2,
Jumper,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
