Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,40.200002,-16.699999,90.0,bottom
C2,4u7,C_0603_1608Metric,30.800002,-30.9,180.0,bottom
C3,100n,C_0402_1005Metric,28.299999,-30.7,180.0,bottom
C4,1u,C_0402_1005Metric,36.500001,-13.899999,180.0,bottom
J1,Input,PinHeader_1x08_P2.54mm_Vertical,27.015001,-33.45,90.0,bottom
R1,10k,R_0402_1005Metric,23.800003,-30.699999,180.0,bottom
R2,39,R_0402_1005Metric,30.500001,-17.3,180.0,bottom
R3,10k,R_0402_1005Metric,30.0,-14.849998,180.0,bottom
R4,10k,R_0402_1005Metric,36.499997,-18.500001,180.0,bottom
R5,15k,R_0402_1005Metric,34.900001,-16.749999,270.0,bottom
U1,PMW3360DM-T2QU,IC_PMW3360DM-T2QU,26.523679,-24.016,90.0,bottom
U2,AP2127K-ADJ,SOT-23-5,37.600001,-16.2,180.0,bottom
